Internal File, Delivered File, Delivered Date, Contractor,  APPNO 
20190701_16434293,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16434293
20190701_16434489,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16434489
20190701_16434664,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16434664
20190701_16434901,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16434901
20190701_16434954,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16434954
20190701_16436746,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16436746
20190701_16436945,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16436945
20190701_16437991,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16437991
20190701_16438275,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16438275
20190701_16438335,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16438335
20190701_16438457,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16438457
20190701_16438872,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16438872
20190701_16439907,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16439907
20190701_16440319,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16440319
20190701_16440737,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16440737
20190701_16440761,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16440761
20190701_16442423,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16442423
20190701_16444213,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16444213
20190701_16444701,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16444701
20190702_16315948,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16315948
20190702_16327619,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16327619
20190702_16334805,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16334805
20190702_16335940,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16335940
20190702_16335949,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16335949
20190702_16340163,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16340163
20190702_16347901,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16347901
20190702_16348298,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16348298
20190702_16413741,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16413741
